dv1,dv2,of1,of2,nlc
2.1087317365,0.0881663617,13.9820806271,27.9519563032,0.4105577040
2.1232488389,2.7511807171,23.1810740862,37.3439569481,12.9882167429
2.1232488389,15.2589290753,102.7635444340,116.9264272960,72.0368083638
2.1232488389,18.9629290807,127.2804269000,141.4433097620,89.5232477625
2.1241509272,10.1603465575,69.2680752818,83.4429952498,48.0073664331
2.1366663706,4.1545638555,31.3596434236,45.7020920169,19.8622061748
2.1434741710,7.0084856576,49.3525114598,63.7865008556,33.7201358877
2.1548311748,9.2143778267,64.0606298134,78.6479787886,44.8044483157
2.1596753887,1.7361271762,18.8006078136,33.4536173081,8.4798293322
2.1604489685,0.4076560123,14.9222658279,29.5857744025,1.9925558106
2.1617625152,8.0024549123,56.2957663185,70.9771110545,39.1622664339
2.1621503505,2.5284181268,22.5978054079,37.2844184884,12.3779662444
2.1644979725,16.8708718833,115.6617626820,130.3802859710,82.7714402440
2.1688030391,4.4022909759,33.4374496303,48.2145797998,21.6844089313
2.1688030391,6.2164188857,44.8592869480,59.6364171174,30.6202770206
2.1717111311,18.9629290807,130.2227568620,145.0395421450,93.6565495047
2.1721219049,11.4861366951,79.7697097077,94.5921006368,56.7506694535
2.1721219049,11.5926476808,80.4839879320,95.3063788611,57.2769186096
2.1726830873,5.3611378210,39.4843032343,54.3143540827,26.5019821638
2.1726830873,18.1040690924,124.4593784760,139.2894293240,89.4947550676
2.1755700569,2.5924814411,23.1314452878,38.0009334116,12.8496240000
2.1755700569,9.6545334671,67.6409838977,82.5104720215,47.8526569098
2.2022165555,7.9060186296,56.7798781370,72.0158414785,40.1519366728
2.2060395974,14.0581527790,98.6220067282,113.9109151670,71.6446035548
2.2070346923,8.5931722115,61.5154138454,76.8181183616,43.8329250697
2.2075986966,3.1178587224,26.4950737742,41.8056004546,15.9120197183
2.2075986966,9.0715628346,64.7508411056,80.0613677860,46.2968016039
2.2075986966,16.8885875572,118.1251248250,133.4356515060,86.1910567962
2.2106884337,6.8916586074,50.2653685830,65.6187822313,35.2701617739
2.2106884337,7.4196620600,53.7688130935,69.1222267418,37.9723802457
2.2221936668,14.1845132197,100.2331541850,115.7467932750,73.3511395845
2.2603260503,19.0772075109,136.4152529140,152.4658818000,102.0670593120
2.2661009861,5.5879129030,42.9280316886,59.0607812572,30.0494664915
2.2821427986,13.6788056389,99.4265893090,115.7885559930,74.6040540473
2.2830844216,9.7084618219,71.5337034603,87.9091749809,52.9935466910
2.2943994367,11.7438461500,86.2508536703,102.7890417810,64.7406455897
2.2943994367,16.4969447053,120.0556654750,136.5938535860,90.9431915945
2.3100993188,12.8614510469,94.8342707377,111.5995648560,71.8753365292
2.3121852485,13.1306955373,96.8481185458,113.6437031490,73.5125692646
2.3121852485,19.6453144865,143.6874595960,160.4830441990,109.9848471710
2.3139001347,17.5925028779,128.9871757730,145.8076832900,98.6382756323
2.3186153324,0.9409154118,18.2268153279,35.1159453643,5.2970809142
2.3186153324,17.5827403448,129.1840037400,146.0731337760,98.9857293598
2.3252397228,9.7084618219,72.9256254749,89.9113994110,54.9685792578
2.3259281518,13.8682255027,102.7521267430,119.7479600550,78.5673496592
2.3309953009,3.4575157349,30.5362367371,47.6062032346,19.6732259200
2.3309953009,10.6527924308,79.8565512972,96.9265177948,60.6142699663
2.3309953009,11.2024986051,83.7934455478,100.8634120450,63.7420919594
2.3342899244,3.6692784837,31.8918196823,49.0100735841,20.9372135734
2.3342899244,5.8841267442,46.4220593585,63.5403132603,33.5753251990
2.3342899244,17.9322622521,132.6137220780,149.7319759790,102.3230060880
2.3502151912,13.9280203050,104.2901724120,121.6427953890,80.5625617238
2.3541961947,6.7942153228,53.1805622054,70.5920218044,39.4324018669
2.3541961947,7.7869840655,60.1663698959,77.5778294949,45.1942528179
2.3712282499,7.7818247898,60.6017326345,78.2660392026,45.8201795823
2.3712282499,8.4645780588,65.4837831926,83.1480897606,49.8403006000
2.3887308419,2.6989527339,27.0475562279,44.9735939747,16.1271761947
2.3894550662,15.3878976197,116.8965855870,134.8334947480,92.0037739289
